Original|Swapped_To|Type
A Fugitive from the Past|Double Indemnity|title
A Funny Man|The 39 Steps|title
A Funny Thing Happened on the Way to the Forum|Rings on Her Fingers|title
A Gathering of Eagles|Hot Fuzz|title
A Gathering of Old Men|Are You Scared?|title
A Generation|Curdled|title
A Gentle Woman|The House of the Spirits|title
A Get2Gether|Castle on the Hudson|title
A Girl Walks Home Alone at Night|Wild Wild West|title
A Glimpse Inside the Mind of Charles Swan III|The Sheepman|title
A Golden Christmas|Vivacious Lady|title
A Good Day to Die Hard|The Adventures of Sebastian Cole|title
A Good Man in Africa|Bringing Out the Dead|title
A Good Old Fashioned Orgy|Leap Year|title
A Good Woman|The Last Temptation of Christ|title
A Good Year|Mercy Streets|title
A Goofy Movie|Planet Terror|title
A Grand Day Out|Red Dust|title
A Grandpa for Christmas|A Guy Thing|title
A Great Day in Harlem|It's Kind of a Funny Story|title
A Guide for the Married Man|Gone in 60 Seconds|title
A Guide to Recognizing Your Saints|Ain't Them Bodies Saints|title
A Gun for Jennifer|Gun Fury|title
A Guy Named Joe|A View to a Kill|title
A Guy Thing|Cypher|title
A Guy and a Gal|The Craigslist Killer|title
A Handful of Dust|Cockneys vs Zombies|title
A Hard Day's Night|Kiss of Death|title
A Hatful of Rain|Pariah|title
A Haunted House|Libel|title
A Haunted House 2|Harold and Maude|title
A Haunting at Silver Falls|Mr. Nobody|title
A High Wind in Jamaica|G|title
A Hijacking|Session 9|title
A History of Violence|Pat and Mike|title
A Hole in My Heart|So Fine|title
A Hole in the Head|While She Was Out|title
A Home at the End of the World|The Poseidon Adventure|title
A Home of Our Own|Night of the Ghouls|title
A Horrible Way to Die|Courier|title
A Huey P. Newton Story|The Day After Tomorrow|title
A Hungarian Fairy Tale|A Walk on the Moon|title
A Kid for Two Farthings|Cutie and the Boxer|title
A Kid in King Arthur's Court|Don Juan|title
A Kind of Loving|The Lovers|title
A Kiss Before Dying|Hell Is for Heroes|title
A Kiss for Corliss|Choking Man|title
A Knight's Tale|How to Train Your Dragon 2|title
A Lady Takes a Chance|An Eye for an Eye|title
A Lady of Chance|Gorillas in the Mist|title
A Late Quartet|Threads|title
A Lawless Street|The Man in Possession|title
A League of Their Own|Project X|title
A Lesson Before Dying|Western Union|title
A Lesson in Love|Healing|title
A Letter from Death Row|Stargate|title
A Letter to Elia|The Portrait of a Lady|title
A Letter to Momo|The Confession|title
A Letter to Three Wives|The Dirty Dozen|title
A Life Less Ordinary|Dead Again|title
A Little Bit of Heaven|American Gun|title
A Little Bit of Soul|A Better Life|title
A Little Help|The 300 Spartans|title
A Little Night Music|Miller's Crossing|title
A Little Princess|Berberian Sound Studio|title
A Little Romance|Rocket Gibraltar|title
A Little Stiff|Halloween II|title
A Little Trip to Heaven|Crime Story|title
A Lizard in a Woman's Skin|The Big Lift|title
A Lonely Place to Die|Boiling Point|title
A Long Way Down|Timeline|title
A Love Song for Bobby Long|The Haunted World of El Superbeasto|title
A Loving Father|Hook|title
A Low Down Dirty Shame|The Call|title
A Madea Christmas|Boy Wonder|title
A Man Apart|Trail of the Pink Panther|title
A Man Called Adam|Scorched|title
A Man Called Gannon|The Book Thief|title
A Man Called Horse|The Earth Dies Screaming|title
A Man Called Peter|Suture|title
A Man Called Sledge|Red Canyon|title
A Man Escaped|Tomorrow, When the War Began|title
A Man and a Woman|Holy Flying Circus|title
A Man for All Seasons|Which Way to the Front?|title
A Man of No Importance|Mega Python vs. Gatoroid|title
A Map of the World|From Beyond the Grave|title
A Marine Story|The Unearthly|title
A Martinez|Susan Traylor|person_name
A Master Builder|Bey Yaar|title
A Matter of Loaf and Death|The Art of Getting By|title
A Message to Garcia|Growth|title
A Midnight Clear|The Price of Milk|title
A Midsummer Night's Dream|The Living and the Dead|title
A Midsummer Night's Sex Comedy|Page Eight|title
A Mighty Heart|Think Like a Man Too|title
A Mighty Wind|Late Marriage|title
A Million Ways to Die in the West|Groundhog Day|title
A Million to Juan|Rio 2|title
A Millionaire for Christy|Brother Bear 2|title
A Modern Affair|The Look of Love|title
A Moment of Innocence|Harlequin|title
A Moment to Remember|The Linguini Incident|title
A Monkey in Winter|Doc of the Dead|title
A Monster in Paris|American Sniper|title
A Month by the Lake|We Feed the World|title
A Month in the Country|Phantom of the Rue Morgue|title
A Most Violent Year|The Sensation of Sight|title
A Most Wanted Man|Demetrius and the Gladiators|title
A Mulher Invisível|Nob Hill|title
A Murder of Crows|You've Got Mail|title
A Name for Evil|The Bat Whispers|title
A New Kind of Love|The Slingshot|title
A New Leaf|Variety Lights|title
A New Wave|Valley of the Dolls|title
A Night at the Opera|Absolute Power|title
A Night at the Roxbury|Martha Marcy May Marlene|title
A Night in Casablanca|Whose Life Is It Anyway?|title
A Night in Heaven|Cold Sweat|title
A Night in Old Mexico|Final Destination 2|title
A Night in the Life of Jimmy Reardon|Slam|title
A Night to Remember|Mister Buddwing|title
A Nightmare on Elm Street|The Wild One|title
A Passage to India|Still Breathing|title
A Patch of Blue|Guns at Batasi|title
A Perfect Couple|Ruby Cairo|title
A Perfect Getaway|The Things of Life|title
A Perfect Murder|The Giant of Marathon|title
A Perfect World|Burnt Offerings|title
A Personal Journey with Martin Scorsese Through American Movies|Aaron Loves Angela|title
A Piece of the Action|Brubaker|title
A Pigeon Sat on a Branch Reflecting on Existence|Juarez|title
A Pistol for Ringo|MacArthur|title
A Place in the Sun|Brigadoon|title
A Place of One's Own|A Lizard in a Woman's Skin|title
A Plumm Summer|Santa Fe Trail|title
A Prairie Home Companion|The Return of Dracula|title
A Prayer for the Dying|The Punisher|title
A Price Above Rubies|Hanna|title
A Princess for Christmas|Jurassic Park|title
A Private Function|Phantom of the Opera|title
A Promise|The Dreamlife of Angels|title
A Prophet|Fourteen Hours|title
A Pure Formality|Swimming Pool|title
A Pyromaniac's Love Story|Flesh|title
A Question of Silence|Sleeping Dogs Lie|title
A Rage in Harlem|Quest for Camelot|title
A Raisin in the Sun|The Guru|title
A Resurrection|Dead Heat on a Merry-Go-Round|title
A Return to Salem's Lot|Our Lady of the Assassins|title
A River Runs Through It|After the Wedding|title
A Room for Romeo Brass|The French Kissers|title
A Room with a View|Country|title
A Royal Affair|Ace in the Hole|title
A Royal Scandal|Greystone Park|title
A Rumor of Angels|Taps|title
A Run for Your Money|Commandments|title
A Safe Place|The Last Hurrah|title
A Scanner Darkly|All About the Benjamins|title
A Scene at the Sea|Never Been Kissed|title
A Screaming Man|The Wolfman|title
A Season for Miracles|The League of Extraordinary Gentlemen|title
A Second Chance|Air America|title
A Secret|Union Pacific|title
A Separation|Bolero|title
A Serious Man|Happy Christmas|title
A Shine of Rainbows|Speedway|title
A Shock to the System|House of Flying Daggers|title
A Short Film About John Bolton|Ten Inch Hero|title
A Short Film About Killing|American Soldiers|title
A Short Film About Love|Shotgun Stories|title
A Short History of Decay|Acts of Worship|title
A Shot at Glory|Battle for Haditha|title
A Shot in the Dark|Little Darlings|title
A Show of Force|A Soldier's Tale|title
A Simple Life|Mirage|title
A Simple Plan|Allegheny Uprising|title
A Simple Twist of Fate|Fear|title
A Simple Wish|To Sir, with Love|title
A Single Girl|Leaving Las Vegas|title
A Single Man|Devour|title
A Single Shot|Young Cassidy|title
A Slight Case of Murder|The Fountain|title
A Slipping-Down Life|To Be or Not to Be|title
A Small Circle of Friends|The Da Vinci Code|title
A Small Town in Texas|Men of Honor|title
A Smile Like Yours|Silent Wedding|title
A Smoky Mountain Christmas|bachelor party|title
A Soldier's Daughter Never Cries|At Long Last Love|title
A Soldier's Story|The Secrets of Jonathan Sperry|title
A Soldier's Sweetheart|Ollie Hopnoodle's Haven of Bliss|title
A Soldier's Tale|Monkey Trouble|title
A Somewhat Gentle Man|How I Won the War|title
A Song Is Born|Pinocchio|title
A Song to Remember|Party Monster|title
A Sound of Thunder|Hamlet Goes Business|title
A Southern Yankee|The Gingerbread Man|title
A Special Day|Dead End|title
A Star Is Born|It Started in Naples|title
A Stolen Life|The Actress|title
A Storm in Summer|Mrs. Brown's Boys D'Movie|title
A Stranger Among Us|The Caretakers|title
A Stranger in Town|Brass Target|title
A Streetcar Named Desire|Last Tango in Paris|title
A Study in Scarlet|The Scarlet Pimpernel|title
A Study in Terror|Play Misty for Me|title
A Summer Place|Quicksand|title
A Summer by the River|Suspiria|title
A Summer in La Goulette|Zebraman|title
A Summer's Tale|Nazis at the Center of the Earth|title
A Sunday in Kigali|Rock Star|title
A Sunday in the Country|The Lives of Others|title
A Swedish Love Story|Rock of Ages|title
A Tale of Springtime|Madea's Witness Protection|title
A Tale of Two Cities|Neo Ned|title
A Tale of Winter|Lord Jim|title
A Tale of the Wind|Shock|title
A Talking Picture|Circle of Iron|title
A Taste of Honey|Dances with Wolves|title
A Taxing Woman|Marquis|title
A Teacher|Don McKay|title
A Thin Line Between Love and Hate|Tere Naam|title
A Thousand Acres|Symmetry|title
A Thousand Clowns|Pumpkinhead|title
A Thousand Words|The Bourne Identity|title
A Time for Drunken Horses|Wings of Hope|title
A Time for Killing|Brother Rat|title
A Time to Kill|Rat Race|title
A Time to Love and a Time to Die|Georges de La Fouchardière|title
A Touch of Class|War of the Buttons|title
A Touch of Spice|One Lucky Elephant|title
A Touch of Zen|Saving Private Ryan|title
A Town Called Panic|A Dangerous Profession|title
A Tree Grows in Brooklyn|Crazy Heart|title
A Troll in Central Park|Eloise at Christmastime|title
A True Mob Story|Radioactive Dreams|title
A Very Brady Sequel|The Magnificent Yankee|title
A Very Long Engagement|Twin Dragons|title
A Very Natural Thing|Less Than Zero|title
A Very Potter Musical|The Angel Levine|title
A Very Potter Sequel|Mr. Moto's Last Warning|title
A View to a Kill|It Happened Tomorrow|title
A Walk Among the Tombstones|End of the Game|title
A Walk in the Clouds|Mr. Baseball|title
A Walk in the Sun|Spiral|title
A Walk in the Woods|Instinct|title
A Walk on the Moon|The Grapes of Wrath|title
A Walk to Remember|Nothing Left to Fear|title
A Warm December|Come Dance with Me!|title
A Wedding|Dudley Do-Right|title
A Woman Is a Woman|Goats|title
A Woman Rebels|Secret Ballot|title
A Woman Under the Influence|Bomber|title
A Woman of Affairs|rush hour series|title
A Woman's Face|Taxidermia|title
A Woman's Secret|The Devil's Backbone|title
A Woman's Tale|Derailed|title
A World Apart|Stolen Summer|title
A World Without Thieves|Dobermann|title
A Yank in the R.A.F.|Delitto al ristorante cinese|title
A Year Ago in Winter|Once Bitten|title
A-Haunting We Will Go|Camera Obscura|title
A. Carter Goodloe|Mark Millar|person_name
A. Dean Bell|George B. Seitz|person_name
A. Edward Sutherland|Eugene Lipinski|person_name
A.A. Milne|Johannes Weiland|person_name
A.C.O.D.|Princess Protection Program|title
A.E.W. Mason|Sandra Milo|person_name
A.I. Artificial Intelligence|The Paleface|title
A.I. Bezzerides|Stephen Amidon|person_name
A.J. Buckley|Penelope Allen|person_name
A.J. Cook|Marcel Marceau|person_name
A.J. Kparr|Laurice Elehwany|person_name
A.K.|Deadgirl|title
A.S.M. Hutchinson|Jira Maligool|person_name
A/k/a Tommy Chong|The Breach|title
AJ Bowen|Michael Andrews|person_name
AJ Carothers|Norman Tokar|person_name
AJ Michalka|James Burke|person_name
AKA|The Last Five Years|title
AM1200|Shriek If You Know What I Did Last Friday the Thirteenth|title
ATM|Mother Night|title
Aaja Nachle|The Long and Short of It|title
Aakrosh|Knights of Badassdom|title
Aaliyah|Vicente Aranda|person_name
Aaltra|Sweet November|title
Aamir|Chance Pe Dance|title
Aamir Khan|Shawn Doyle|person_name
Aanaahad|John Christopher|person_name
Aankhen|The Lucky Ones|title
Aaron Blabey|Edward Neumeier|person_name
Aaron Eckhart|Tomokazu Miura|person_name
Aaron Fechter|Colin Firth|person_name
Aaron Goodwin|Perce Pearce|person_name
Aaron Harvey|Augustus Goetz|person_name
Aaron Jeffery|Joe Nussbaum|person_name
Aaron Katz|Jackie Coogan|person_name
Aaron Kim Johnston|Annika Hallin|person_name
Aaron Kwok|Ken Kaufman|person_name
Aaron Lipstadt|Claudia Llosa|person_name
Aaron Loves Angela|Today You Die|title
Aaron Lubarsky|Christian Petzold|person_name
Aaron McGruder|Lorraine Bracco|person_name
Aaron Norris|Mark Holton|person_name
Aaron Paul|John D. Hancock|person_name
Aaron Poole|Simon Gray|person_name
Aaron Russo|Alan Warner|person_name
Aaron Schneider|Jerry Reed|person_name
Aaron Seltzer|Dianne Wiest|person_name
Aaron Sorkin|Lena Endre|person_name
Aaron Springer|Susan Kiger|person_name
Aaron Stanford|Rob Meyer|person_name
Aaron Stockard|Keith Gordon|person_name
Aaron Williams|Catherine Mary Stewart|person_name
Aaron Woodley|Kenneth Roberts|person_name
Aaron Woolf|Stefan Aust|person_name
Aaron Yoo|L.H. Whittemore|person_name
Aashiqui 2|Bread and Chocolate|title
Aasif Mandvi|Arthur Weiss|person_name
Abandon|The Sorcerer's Apprentice|title
Abandoned|Merry Madagascar|title
Abbas Kiarostami|Judith Rascoe|person_name
Abbas Tyrewala|Talulah Riley|person_name
Abbe Wool|Josh Hartnett|person_name
Abbey Lincoln|Vincent Patrick|person_name
Abbie Cornish|Paul Brodeur|person_name
Abbott and Costello Go to Mars|Bringing Down the House|title
Abbott and Costello Meet Captain Kidd|The Rules of Attraction|title
Abbott and Costello Meet Dr. Jekyll and Mr. Hyde|Playtime|title
Abbott and Costello Meet the Invisible Man|Sink the Bismarck!|title
Abbott and Costello Meet the Killer, Boris Karloff|The Chosen|title
Abbott and Costello Meet the Mummy|Galaxina|title
Abby Everett Jaques|John Howley|person_name
Abby Kohn|Clifford Rose|person_name
Abby Mann|William Eythe|person_name
Abdel Raouf Dafri|Andrew Marton|person_name
Abdellatif Kechiche|Douglas Fairbanks Jr.|person_name
Abderrahman Alrahy|Agnès Varda|person_name
Abderrahmane Sissako|Lisa Collier Cool|person_name
Abdoulaye Mamani|James Coco|person_name
Abduction|Star of Midnight|title
Abdul Malik Abbott|Jan Gissberg|person_name
Abdulah Sidran|Kuno Becker|person_name
Abe Burrows|Petri Kotwica|person_name
Abe Lincoln in Illinois|Dead Man Running|title
Abe Polsky|Odette Annable|person_name
Abe Sylvia|Harriet Andersson|person_name
Abel Ferrara|Damián Szifrón|person_name
Abel Gance|Alfonso Arau|person_name
Abem Finkel|Mónica López|person_name
Aben Kandel|Joseph Zito|person_name
Aberdeen|Nightmare City|title
Abhay Deol|Kathleen Kinmont|person_name
Abhijat Joshi|Jim McBride|person_name
Abhimanyu Singh|Roger Lewis|person_name
Abhin Galeya|Robert Sarkies|person_name
Abhinay Deo|Alain Berliner|person_name
Abhishek Bachchan|Ehud Yonay|person_name
Abhishek Jain|Richard Boleslawski|person_name
Abhishek Sharma|Sanaa Lathan|person_name
Abi Morgan|Mats Wahl|person_name
Abigail Breslin|Jeremy Suarez|person_name
Abigail Cruttenden|Matt Wall|person_name
Abigail Mason|Steven Hilliard Stern|person_name
Abigail Spencer|William H. Pine|person_name
Abigail's Party|The Amazing Spider-Man|title
Abiodun Oyewole|Debra Granik|person_name
Abominable|Insanitarium|title
About Adam|Tall in the Saddle|title
About Cherry|Sweetwater|title
About Elly|Never Too Young to Die|title
About Last Night|The Fixer|title
About Schmidt|Crossing Delancey|title
About Time|Legends of the Fall|title
About a Boy|The Arrow|title
Above Suspicion|The Mayor of Casterbridge|title
Above and Beyond|Chaos Theory|title
Above the Law|A Boy Named Charlie Brown|title
Above the Rim|White Hunter Black Heart|title
Abraham Cahan|Margarete Böhme|person_name
Abraham Merritt|Ned Beatty|person_name
Abraham Polonsky|Kenta Fukasaku|person_name
Abraham Sofaer|Bruce Dinsmore|person_name
Abraham's Valley|The Swarm|title
Absence of Malice|Al Capone|title
Absentia|Terraferma|title
Absolon|Smilin' Through|title
Absolute Beginners|Dagon|title
Absolute Deception|Centurion|title
Absolute Power|Talk Radio|title
Absurdistan|The Expendables 2|title
Accattone|Good Morning, Miss Dove|title
Accepted|Thunderheart|title
Accident|The Captive|title
Accident on Hill Road|Cavalcade|title
Accidents Happen|Edmond|title
Acción mutante|Windtalkers|title
According to Greta|Judex|title
According to Spencer|Ladybug Ladybug|title
Ace Attorney|Mighty Joe Young|title
Ace High|A Little Stiff|title
Ace Mask|Jim Jacobs|person_name
Ace in the Hole|Ghajini|title
Ace of Hearts|The Comedians of Comedy|title
Aces 'N' Eights|Great World of Sound|title
Aces High|Dream a Little Dream|title
Aces and Eights|The Princess Bride|title
Achero Mañas|Lillie Hayward|person_name
Achilles and the Tortoise|Flesh Gordon|title
Achim von Arnim|Claire Maurier|person_name
Achita Sikamana|Kurt Frey|person_name
Achmed Abdullah|Nicolas Cage|person_name
Acqua e sapone|The Shakiest Gun in the West|title
Across 110th Street|The Eye|title
Across the Bridge|Piñero|title
Across the Pacific|The Unsuspected|title
Across the Sea of Time|M. Butterfly|title
Across the Tracks|Santa Claus Conquers the Martians|title
Across the Universe|Chitty Chitty Bang Bang|title
Across the Wide Missouri|Girl in the Cadillac|title
Across to Singapore|The Confessional|title
Act of Valor|Women Without Men|title
Act of Violence|A Huey P. Newton Story|title
Action|noir|genre
Action Jackson|Mischief|title
Action in the North Atlantic|Whatever Happened to Harold Smith?|title
Actrices|Invincible|title
Acts of Worship|Kissed by Winter|title
Adam|Finding Forrester|title
Adam Abraham|Tim Gouran|person_name
Adam Alleca|Robert Burton|person_name
Adam Ant|Lyndall Hobbs|person_name
Adam Arkin|Ayad Akhtar|person_name
Adam Baldwin|Peter O'Toole|person_name
Adam Beach|J. Elder Wills|person_name
Adam Bernstein|Alan Roscoe|person_name
Adam Bhala Lough|Wadeck Stanczak|person_name
Adam Blaiklock|Tilikum|person_name
Adam Bousdoukos|Wolfgang Menge|person_name
Adam Brody|Marcel Achard|person_name
Adam Brooks|Nevena Kokanova|person_name
Adam Busch|Leah Ayres|person_name
Adam Campbell|Duncan Tucker|person_name
Adam Carolla|Margaret Avery|person_name
Adam Collis|Karim Dridi|person_name
Adam Cooper|U Aung Ko|person_name
Adam Cronheim|Darren Criss|person_name
Adam Deacon|Isa Miranda|person_name
Adam Dubin|Vivian Blaine|person_name
Adam Elliot|Busby Berkeley|person_name
Adam Faith|Kim Parker|person_name
Adam Fields|Devon Gearhart|person_name
Adam Garcia|Xavier Dolan|person_name
Adam Gierasch|T. Ryder Smith|person_name
Adam Goldberg|Jeff Anderson|person_name
Adam Green|Verónica Forqué|person_name
Adam Grossman|Anna Nakagawa|person_name
Adam Had Four Sons|Memorial Day|title
Adam Herz|Scott Sommer|person_name
Adam Hicks|Françoise Sagan|person_name
Adam Hochschild|Judd Hirsch|person_name
Adam Horovitz|Luciano Vincenzoni|person_name
Adam Jay Epstein|Jason Flemyng|person_name
Adam Kane|Lucille Fletcher|person_name
Adam Kassen|Brian Haley|person_name
Adam Kaufman|Claudio Tamburrini|person_name
Adam Kennedy|Tara Strong|person_name
Adam LaVorgna|Paul Donovan|person_name
Adam Lamberg|Olivia Wilde|person_name
Adam Larson Broder|Ron Jones|person_name
Adam Leff|Keiichi Hara|person_name
Adam Leon|Otar Iosseliani|person_name
Adam Lundgren|Wilmer Valderrama|person_name
Adam Marcus|Chitra Banerjee Divakaruni|person_name
Adam Mason|Stephen Hunter|person_name
Adam Mazer|Will Poulter|person_name
Adam McKay|Joseph Tropiano|person_name
Adam Minarovich|Edoardo Ponti|person_name
Adam Moreno|Dendrie Taylor|person_name
Adam Nagata|Shane Connaughton|person_name
Adam Patrick Foster|Taurean Blacque|person_name
Adam Rapp|Robert Taylor|person_name
Adam Ravetch|David F. Shamoon|person_name
Adam Rayner|Billy Boyd|person_name
